r,,,,,,,,
br,bn,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,rc,--,--,rc,--,--,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rn,rr
br,bn,bb,ba,bk,ba,bb,--,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,--,--,bn,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,rc,--,--,rc,--,--,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rn,rr
br,bn,bb,ba,bk,ba,bb,--,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,--,--,bn,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,rc,--,--,rc,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,--,rr
br,bn,bb,ba,bk,ba,bb,br,--
--,--,--,--,--,--,--,--,--
--,bc,--,--,--,--,bn,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,rc,--,--,rc,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,--,rr
br,bn,bb,ba,bk,ba,bb,br,--
--,--,--,--,--,--,--,--,--
--,bc,--,--,--,--,bn,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,rc,--,--,rc,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rr,--
br,--,bb,ba,bk,ba,bb,br,--
--,--,--,--,--,--,--,--,--
--,bc,bn,--,--,--,bn,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,rc,--,--,rc,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rr,--
br,--,bb,ba,bk,ba,bb,br,--
--,--,--,--,--,--,--,--,--
--,bc,bn,--,--,--,bn,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,--,rp,--,rp,--,--,--,rp
--,rc,--,--,rc,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rr,--
br,--,bb,ba,bk,ba,bb,br,--
--,--,--,--,--,--,--,--,--
--,bc,bn,--,--,--,bn,bc,--
bp,--,--,--,bp,--,bp,--,bp
--,--,bp,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,--,rp,--,rp,--,--,--,rp
--,rc,--,--,rc,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rr,--
br,--,bb,ba,bk,ba,bb,br,--
--,--,--,--,--,--,--,--,--
--,bc,bn,--,--,--,bn,bc,--
bp,--,--,--,bp,--,bp,--,bp
--,--,bp,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,--,rp,--,rp,--,--,--,rp
rn,rc,--,--,rc,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,rb,rr,--
br,--,bb,ba,bk,ba,bb,br,--
--,--,--,--,--,--,--,--,--
--,bc,bn,--,--,--,bn,bc,--
--,--,--,--,bp,--,bp,--,bp
bp,--,bp,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,--,rp,--,rp,--,--,--,rp
rn,rc,--,--,rc,--,rn,--,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,rb,rr,--
br,--,bb,ba,bk,ba,bb,br,--
--,--,--,--,--,--,--,--,--
--,bc,bn,--,--,--,bn,bc,--
--,--,--,--,bp,--,bp,--,bp
