d,,,,,,,,
br,bn,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,--,--,--,rc,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rn,rr
br,--,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,bn,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rp,--,rp,--,rp,--,rp,--,rp
--,--,--,--,rc,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rn,rr
br,--,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,bn,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,--,rp,--,rp,--,--,--,rp
--,--,--,--,rc,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rn,rr
--,br,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,bn,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,--,rp,--,rp,--,--,--,rp
--,--,--,--,rc,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rn,rr
--,br,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,bn,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,--,rp,--,rp,--,--,--,rp
--,--,rn,--,rc,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,rb,rn,rr
--,br,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
bc,--,bn,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,--,rp,--,rp,--,--,--,rp
--,--,rn,--,rc,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,rb,rn,rr
--,br,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
bc,--,bn,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,--,rp,--,rp,--,--,--,rp
--,--,rn,--,rc,--,rn,rc,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,rb,--,rr
--,br,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
bc,--,bn,--,--,--,--,bc,--
bp,--,--,--,bp,--,bp,--,bp
--,--,bp,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,--,rp,--,rp,--,--,--,rp
--,--,rn,--,rc,--,rn,rc,--
--,--,--,--,--,--,--,--,--
rr,--,rb,ra,rk,ra,rb,--,rr
--,br,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
bc,--,bn,--,--,--,--,bc,--
bp,--,--,--,bp,--,bp,--,bp
--,--,bp,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,--,rp,--,rp,--,--,--,rp
--,--,rn,--,rc,--,rn,rc,--
rr,--,--,--,--,--,--,--,--
--,--,rb,ra,rk,ra,rb,--,rr
--,br,bb,ba,bk,--,bb,bn,br
--,--,--,--,ba,--,--,--,--
bc,--,bn,--,--,--,--,bc,--
bp,--,--,--,bp,--,bp,--,bp
--,--,bp,--,--,--,--,--,--
--,--,--,--,--,--,rp,--,--
rp,--,rp,--,rp,--,--,--,rp
--,--,rn,--,rc,--,rn,rc,--
rr,--,--,--,--,--,--,--,--
--,--,rb,ra,rk,ra,rb,--,rr
--,br,bb,ba,bk,--,bb,bn,br
--,--,--,--,ba,--,--,--,--
bc,--,bn,--,--,--,--,bc,--
bp,--,--,--,bp,--,bp,--,bp
