d,,,,,,,,
br,bn,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,bc,--,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,--,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rn,rr
br,bn,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,--,bc,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,--,--,--,rc,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rn,rr
br,bn,bb,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,--,bc,--,--,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,rc,--,--,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rn,rr
br,bn,--,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
bp,--,bp,--,bp,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,rc,--,--,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rn,rr
br,bn,--,ba,bk,ba,bb,bn,br
--,--,--,--,--,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
bp,--,bp,--,rc,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rn,rr
br,bn,--,--,bk,ba,bb,bn,br
--,--,--,--,ba,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
bp,--,bp,--,rc,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,--,--,--,--,--
--,--,--,--,--,--,--,--,--
rr,rn,rb,ra,rk,ra,rb,rn,rr
br,bn,--,--,bk,ba,bb,bn,br
--,--,--,--,ba,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
bp,--,bp,--,rc,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,rb,--,--,--,--
--,--,--,--,--,--,--,--,--
rr,rn,--,ra,rk,ra,rb,rn,rr
br,--,--,--,bk,ba,bb,bn,br
--,--,--,bn,ba,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
bp,--,bp,--,rc,--,bp,--,bp
--,--,--,--,--,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,rb,--,--,--,--
--,--,--,--,--,--,--,--,--
rr,rn,--,ra,rk,ra,rb,rn,rr
br,--,--,--,bk,ba,bb,bn,br
--,--,--,bn,ba,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
bp,--,bp,--,--,--,bp,--,bp
--,--,--,--,rc,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,rb,--,--,--,--
--,--,--,--,--,--,--,--,--
rr,rn,--,ra,rk,ra,rb,rn,rr
--,br,--,--,bk,ba,bb,bn,br
--,--,--,bn,ba,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
bp,--,bp,--,--,--,bp,--,bp
--,--,--,--,rc,--,--,--,--
--,--,rp,--,--,--,--,--,--
rp,--,--,--,rp,--,rp,--,rp
--,rc,--,--,rb,--,--,--,--
--,--,--,--,--,--,--,--,--
rr,rn,--,ra,rk,ra,rb,rn,rr
--,br,--,--,bk,ba,bb,bn,br
--,--,--,bn,ba,--,--,--,--
--,--,bc,--,bb,--,--,bc,--
bp,--,bp,--,--,--,bp,--,bp
